"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"232",46001,"Brandon--Souris","Brandon--Souris","Brandon--Souris",0
"233",46002,"Charleswood--St. James--Assiniboia","Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley",1
"234",46003,"Churchill","Churchill--Keewatinook Aski","Churchill--Keewatinook Aski",1
"235",46004,"Dauphin--Swan River--Marquette","Dauphin--Swan River--Neepawa","Dauphin--Swan River--Neepawa",1
"236",46005,"Elmwood--Transcona","Elmwood--Transcona","Elmwood--Transcona",0
"237",46006,"Kildonan--St. Paul","Kildonan--St. Paul","Kildonan--St. Paul",0
"238",46007,"Portage--Lisgar","Portage--Lisgar","Portage--Lisgar",0
"239",46008,"Provencher","Provencher","Provencher",0
"240",46009,"Saint-Boniface","Saint-Boniface--Saint-Vital","Saint-Boniface--Saint-Vital",1
"241",46010,"Selkirk--Interlake","Selkirk--Interlake--Eastman","Selkirk--Interlake--Eastman",1
"242",46011,"Winnipeg-Centre","Winnipeg-Centre","Winnipeg-Centre",0
"243",46012,"Winnipeg-Nord","Winnipeg-Nord","Winnipeg-Nord",0
"244",46013,"Winnipeg-Sud","Winnipeg-Sud","Winnipeg-Sud",0
"245",46014,"Winnipeg-Centre-Sud","Winnipeg-Centre-Sud","Winnipeg-Centre-Sud",0
"246",47001,"Battlefords--Lloydminster","Battlefords--Lloydminster","Battlefords--Lloydminster",0
"247",47002,"Blackstrap","Cypress Hills--Grasslands","Cypress Hills--Grasslands",1
"248",47003,"Desneth<e9>--Missinippi--Rivi<e8>re Churchill","Desnethé--Missinippi--Rivière Churchill","Desnethé--Missinippi--Rivière Churchill",1
"249",47004,"Cypress Hills--Grasslands","Sentier Carlton--Eagle Creek","Sentier Carlton--Eagle Creek",1
"250",47005,"Palliser","Moose Jaw--Lake Centre--Lanigan","Moose Jaw--Lake Centre--Lanigan",1
"251",47006,"Prince Albert","Prince Albert ","Prince Albert",1
"252",47007,"Regina--Lumsden--Lake Centre","Regina--Lewvan","Regina--Lewvan",1
